[56765],0.010079691963155545
[55835],0.011072572740100487
[55831],0.015660481502026445
[55323],0.041185012848955226
[55267, 55323],0.013310519318546522
[55327],0.025887951642521296
[55287],0.01646226652477312
[55295],0.02101689396836811
[55295, 55323],0.011816241189579354
[55267, 55295],0.011189116437091645
[55283],0.024939396815380085
[84731],0.015030360643409579
[55343],0.015382041667824064
[55859],0.011396705651522059
[89705],0.010348876072580558
[55319],0.02903037395750921
[55319, 55323],0.019728971920739455
[55267, 55319],0.015081788135301897
[55367],0.014942617540590035
[82719],0.01566932767275529
[55267],0.04514495109315565
[55463],0.012352803364079963
[55559],0.011965779771991206
[56041],0.010742435518050451
[55871],0.012020035219401077
[55887],0.013207579505852675
[89721],0.010801581349200857
[55531],0.011547618294646228
[55291],0.02340343341754399
[55291, 55323],0.012402347783968174
[55315],0.026273169403230004
[55267, 55315],0.012712147109540613
[55315, 55323],0.01631231595665836
[55843],0.012069224535612837
[56761],0.02479003570893824
[55271],0.026200424572068982
[55267, 55271],0.012828301095140422
[55271, 55323],0.010255211523261329
[55351],0.026691135312325597
[55267, 55351],0.011054568639663323
[55323, 55351],0.014598073860909451
[203729],0.016563048590705464
[55275],0.013172405048566177
[55339],0.01192458477616786
[84759],0.011539391259090646
[55875],0.015571961038420363
[56769],0.02021706391632974
[55543],0.0170401109114625
[222439],0.011079056840942866
[55891],0.011607685668187637
[55551],0.0166491743050824
[56057],0.014113890642234861
[55387],0.019723711160954116
[55307],0.012136257198364834
[55335],0.014335343421037105
[244119],0.010874941810994578
[250271],0.012835373431122385
[253633],0.011637431682817233
[270057],0.01151166921688975
