[368],0.07807623223347955
[274],0.025796421895066417
[687],0.017352336430773108
[630],0.015161983655647407
[825],0.030734516554697586
[39, 825],0.020890664308929364
[240],0.013756332945547695
[538],0.039366846100882015
[834],0.013981609032586167
[561],0.027121045502185998
[25],0.013494222828965785
[52],0.019654998085323346
[775],0.03714718929076635
[448],0.013491031320460641
[120],0.04879941256214204
[39],0.042203612904177165
[704],0.01807221992119098
[39, 704],0.018209923576613333
[814],0.016607861817138827
[581],0.02940852732875601
[401],0.03650742041736111
[205],0.03485205816682726
[35],0.01945797592485613
[733],0.01115155647780525
[950],0.014600040806126589
[674],0.024585272976479524
[854],0.0281707293081413
[937],0.04583408779040892
[964],0.014745712228339316
[449],0.01826169662516074
[422],0.012451769309220685
[895],0.03303526446700488
[120, 895],0.011119632411559888
[857],0.015231697986662263
[766],0.06286738189976995
[883],0.0483195923822031
[283],0.04009299509519828
[217, 283],0.01078912915467014
[229],0.022385881989563493
[966],0.03859865214553511
[438, 966],0.010960131733244609
[738],0.02131207646273643
[294],0.014367467872843704
[381],0.029783621607752872
[853],0.017924712644470583
[708],0.010498181106072917
[978],0.011953481815931803
[569],0.027875800069487432
[620],0.019898300039046253
[104],0.010705464038264308
[798],0.03074015095005771
[143],0.01404480739806837
[529],0.06994486614928401
[682],0.040915636463929074
[368, 682],0.01377984460883192
[947],0.036396601625409426
[32, 947],0.01285333285764933
[217, 947],0.012639098639956273
[782],0.027802369372719536
[529, 782],0.013974817956028802
[809],0.02127154728465905
[658],0.018516893553041657
[970],0.020732203874814125
[350],0.030850564354615573
[7],0.010221602814409168
[214],0.019135664851342857
[214, 354],0.013278197336606158
[185],0.01563971748162412
[390],0.026587979979553897
[390, 722],0.015945440823400023
[227],0.017331365831371466
[227, 722],0.01542599980121424
[914],0.040446123270339945
[618],0.0133332000729252
[597],0.02815430723430013
[597, 766],0.010459576715493555
[280],0.019461254715901714
[932],0.01806627203732596
[279],0.02983790970180345
[208],0.014248216210545823
[675],0.03011303772922114
[720],0.03773432888374628
[530],0.0123976737626304
[496],0.014500899376974519
[217],0.05299387051840996
[653],0.02618957871812021
[276],0.02471534585703165
[706],0.01916480746493692
[183],0.03829971924028769
[183, 766],0.010092024081105173
[177],0.04509376374358678
[424],0.014175914667382853
[571],0.02855827949671979
[490],0.010121969812801534
[623],0.017798961879112687
[175],0.027734726226341603
[175, 766],0.010103877684674427
[960],0.027079626635698763
[766, 960],0.01088717251488354
[910],0.016231629974246563
[795],0.033760232348931433
[161],0.02279309454809955
[125],0.01271480096064983
[130],0.01696753664323016
[392],0.024087917981741702
[461],0.014968315287302907
[862],0.0366797768888964
[120, 862],0.011299232330902824
[494, 862],0.013183625451061257
[78],0.023759544132974004
[27],0.021262267881878086
[900],0.011544626876889669
[921],0.02388875498359775
[803],0.022133513086717155
[778],0.0252907079893098
[579],0.020723334234428566
[147],0.013796980879600601
[572],0.015915292707842373
[411],0.020283372598976328
[71],0.03491703434578692
[71, 766],0.010742839123557238
[888],0.03645141764790724
[458],0.010869884619803438
[523],0.02198810035611262
[290],0.017719356031383995
[614],0.030765788955278317
[266],0.010246542335428353
[944],0.027839137992009245
[494, 944],0.010459093671258402
[204],0.021099543164773082
[334],0.02105937927648477
[874],0.022105214235726315
[70],0.023882372292243634
[70, 684],0.014823327148977938
[480],0.02206406691240296
[43],0.0172208034434474
[513],0.012802441726865513
[151],0.025331969767144625
[890],0.014381378341832644
[504],0.012690256603020552
[722],0.057811248723584945
[419],0.04981686083767532
[310],0.01297599925672293
[469],0.014947855361559367
[918],0.030179463033670768
[846],0.014603634175560406
[844],0.027314019915344045
[967],0.01701562759347018
[789],0.04266640581974773
[789, 829],0.011806985801468621
[326],0.014649546860670725
[975],0.016926831845934173
[774],0.019886875282869858
[403],0.01639177411543075
[788],0.023693292523539713
[526],0.027651492544235486
[395],0.010221888166333765
[201],0.010032777785513739
[116],0.021486105038646276
[198],0.015345053199211483
[946],0.013443250293056113
[701],0.012733693132154477
[171],0.011172130187379285
[541],0.03696531882650197
[494, 541],0.011478181433954316
[805],0.018393027875983278
[678],0.013205486927688099
[935],0.01688825819088348
[735],0.01648078216327643
[471],0.02866191779045845
[631],0.027934042535041826
[494, 631],0.011695601892544944
[487],0.030128380966622646
[638],0.022640318725866013
[192],0.019350709300508598
[780],0.023495551349837752
[763],0.018463650245524106
[17],0.0164836374177326
[956],0.03591785275737175
[354, 956],0.010244109272232406
[758],0.02868359911690469
[242],0.022683683608646407
[145],0.04594680750352393
[792],0.013460930021470753
[385],0.01673189357022113
[385, 684],0.011342822769853987
[885],0.029832927578716972
[790],0.010720579906052973
[676],0.026861488852444312
[617],0.02580339386865014
[354, 617],0.011361242232713911
[859],0.011997351431655512
[522],0.027019331213228324
[354],0.057796807870007474
[684],0.05347481635291762
[12],0.03378429804041812
[12, 722],0.011704150630026671
[740],0.016202746266752357
[296],0.021718078533512784
[296, 829],0.01322906316478219
[296, 368],0.010321169767619036
[841],0.01880578124560025
[548],0.02815615996482096
[829],0.06807077737540347
[346],0.03423059457727091
[217, 346],0.021593697408045995
[283, 346],0.0139141522611866
[217, 283, 346],0.012667165966865816
[884],0.016279199966912274
[477],0.02462399628692049
[605],0.016364576663047973
[210],0.0196432547537707
[460],0.04412652222888183
[234],0.013381931956433998
[746],0.019549655289044735
[649],0.013063759060835366
[600],0.012460517256653121
[28],0.014922978473937103
[157],0.01118747179453578
[919],0.036544178127447174
[517],0.011573627083746315
[115],0.017614719331157207
[736],0.014484404390071627
[5],0.01056178379792999
[744],0.02146553496807905
[494],0.05018601024177876
[641],0.013733596494821153
[673],0.015954340220721154
[489],0.0342328820256653
[196],0.020300597152887907
[362],0.043471939617771974
[591],0.012269925735617804
[58],0.013429200224624705
[58, 354],0.010847970173657436
[628],0.011303138438078732
[181],0.012513513178476144
[472],0.02101132058117287
[32, 472],0.010253168225908885
[573],0.011869091844509294
[31],0.017239982453845976
[651],0.011953476497105028
[168],0.014890276891105936
[154],0.014327271715500606
