[55831],0.016431573001149388
[56765],0.012265769482390072
[55835],0.012595405545897668
[55323],0.03981305183326631
[55267, 55323],0.01201718778455872
[55327],0.027808258603526387
[55287],0.01951361324291212
[55295],0.024634272078005132
[55295, 55323],0.012879836275232735
[55267, 55295],0.010205448425628757
[55283],0.026307087955146323
[84731],0.014410141287994338
[55343],0.01662303660718956
[55859],0.012562604399335688
[89705],0.010669250346538664
[55319],0.0328480219669553
[55319, 55323],0.017640943173825432
[55267, 55319],0.013588052975396057
[55367],0.01730486913792767
[82719],0.015750730274885234
[55267],0.04489344616725099
[55875],0.01706622661765764
[55315],0.028965927481776475
[55267, 55315],0.011867792861657813
[55315, 55323],0.014957533900843922
[55487],0.010613105431269554
[55871],0.012779091121452578
[89721],0.01116682097276153
[55887],0.014264508645656723
[55531],0.011525747234287098
[55291],0.0262167331502222
[55291, 55323],0.011353242147901602
[56761],0.025917601829423247
[55843],0.012902701081598127
[55351],0.030182691797036035
[55267, 55351],0.011010079658951108
[55323, 55351],0.013601326828995178
[55271],0.029621469838227416
[55267, 55271],0.012267460038855309
[56041],0.011607622741000634
[203729],0.016451663426116772
[55275],0.014877428960894078
[55339],0.013961723356006392
[84759],0.011506052112065047
[56769],0.020198580034821494
[55543],0.01845713192670105
[55463],0.012477233159440321
[222439],0.01085277169787547
[55891],0.013166917035703695
[55559],0.012428437931711195
[55551],0.01791540204812062
[56057],0.01380767734023827
[55387],0.021479498758918185
[55307],0.013233914772605887
[55335],0.016157013909232902
[244119],0.010978989065980292
[250271],0.012997506546828498
[253633],0.012582145461775515
[270057],0.011973902264665888
[55347],0.010604425443134207
