[10311],0.030002597327375327
[10311, 12703],0.01247005572301054
[10311, 10315],0.0239691076115308
[10295, 10311],0.011898358269913364
[10307, 10311],0.010475132356693145
[12487],0.029796578721670894
[10311, 12487],0.011810769049983471
[12483, 12487],0.012540580051510392
[10315, 12487],0.012069160855468917
[12487, 32213],0.010080598250435219
[10307],0.03598210006879697
[10307, 10315],0.014289425649120373
[10295, 10307],0.014201506837210788
[10307, 12895],0.014048282470919961
[12559],0.0159368438791364
[12695],0.016158145175979785
[12695, 12703],0.0100149200532198
[12703],0.02453529560873921
[12703, 12895],0.010111067075622584
[12487, 12703],0.011425608660509363
[10315, 12703],0.01202776258205383
[12703, 32213],0.010378359390713965
[12691],0.011232935322361646
[12831],0.013186752501084737
[12819],0.01377469850945918
[12663],0.025196157220171548
[12567],0.012495444061311525
[12895],0.0514974910087945
[12875],0.018167016178451182
[12407],0.01058830786525098
[12715],0.017499652058435056
[12483],0.026701256894384143
[10315, 12483],0.010265682224490803
[12723],0.018429444468608815
[12621],0.021528716921224086
[12679],0.024384499378081688
[12679, 12895],0.011052194688599984
[12431],0.018222736446281782
[12355],0.01502602344343959
[12411],0.011228949471620106
[10877],0.020871522135313226
[12751],0.015678348718285808
[10315],0.04779665826567256
[18787],0.012069145233222497
[18863],0.012982826078140539
[12827],0.01209437034464353
[12827, 12895],0.013841250702014533
[10295],0.023626118373848898
[10295, 10315],0.019656348978575038
[10295, 12895],0.012014539417944389
[10335],0.016648732975282726
[12659],0.014922390846371765
[12795],0.010289000857384116
[12779],0.010266122084208613
[12783],0.013927198865629285
[12339],0.013009502274495825
[34893],0.015396338877308593
[33469],0.05428533365741584
[33449],0.05338601296690176
[33449, 33469],0.02027436486918655
[32213],0.020460620765303958
[10315, 32213],0.011121214007225383
[34885],0.011773776226182026
[33433],0.010574408570787702
[33433, 33469],0.010441477664824965
